# 251112_15:30:36.031723
t	CH1	CH2
0.000000e+00	-1.646216e-03	-3.470600e+00
1.000000e-08	-7.660551e-04	-3.440111e+00
2.000000e-08	1.459768e-03	-3.502583e+00
3.000000e-08	-1.642285e-03	-3.535770e+00
4.000000e-08	-1.774750e-03	-3.543367e+00
5.000000e-08	-4.744829e-03	-3.537896e+00
6.000000e-08	-6.931223e-04	-3.607922e+00
7.000000e-08	-2.847240e-03	-3.588450e+00
8.000000e-08	7.922253e-04	-3.598999e+00
9.000000e-08	-3.171802e-03	-3.610051e+00
1.000000e-07	1.161687e-03	-3.620603e+00
1.100000e-07	-2.421939e-03	-3.620629e+00
1.200000e-07	4.258048e-04	-3.662227e+00
1.300000e-07	-5.061530e-03	-3.692657e+00
1.400000e-07	-8.291347e-04	-3.724687e+00
1.500000e-07	-1.842579e-03	-3.766320e+00
1.600000e-07	1.855941e-03	-3.818046e+00
1.700000e-07	-2.875866e-03	-3.898627e+00
1.800000e-07	7.357260e-04	-3.918703e+00
1.900000e-07	-2.653997e-03	-3.880786e+00
2.000000e-07	2.082310e-04	-3.973845e+00
2.100000e-07	-3.470365e-03	-3.946390e+00
2.200000e-07	-2.842915e-03	-3.975921e+00
2.300000e-07	-6.273653e-04	-3.987974e+00
2.400000e-07	1.341070e-04	-3.968474e+00
2.500000e-07	1.902334e-03	-4.000000e+00
2.600000e-07	-2.937545e-03	-4.030553e+00
2.700000e-07	-9.534186e-04	-4.030051e+00
2.800000e-07	-3.584001e-03	-4.040603e+00
2.900000e-07	-3.100889e-04	-4.061653e+00
3.000000e-07	-3.182547e-03	-4.051159e+00
3.100000e-07	8.995930e-05	-4.072259e+00
3.200000e-07	-4.883987e-04	-4.092789e+00
3.300000e-07	3.055260e-03	-4.113290e+00
3.400000e-07	-9.179433e-04	-4.115342e+00
3.500000e-07	-6.421389e-04	-4.155441e+00
3.600000e-07	-4.423570e-03	-4.154870e+00
3.700000e-07	-5.567484e-06	-4.156447e+00
3.800000e-07	-2.894205e-03	-4.174949e+00
3.900000e-07	-4.076763e-05	-4.177473e+00
4.000000e-07	-1.158218e-03	-4.228549e+00
4.100000e-07	1.851409e-03	-4.190627e+00
4.200000e-07	-3.576191e-04	-4.230554e+00
4.300000e-07	-9.901696e-04	-4.279606e+00
4.400000e-07	-3.182467e-03	-4.261632e+00
4.500000e-07	-1.899687e-03	-4.291654e+00
4.600000e-07	-4.264215e-04	-4.282161e+00
4.700000e-07	-9.251324e-04	-4.292811e+00
4.800000e-07	-2.881755e-04	-4.331711e+00
4.900000e-07	2.413240e-04	-4.334765e+00
5.000000e-07	-4.997846e-04	-4.342292e+00
5.100000e-07	-7.203225e-04	-4.344920e+00
5.200000e-07	-1.364175e-03	-4.366341e+00
5.300000e-07	-9.563232e-04	-4.375894e+00
5.400000e-07	-9.924287e-04	-4.395897e+00
5.500000e-07	-8.370941e-04	-4.368923e+00
5.600000e-07	1.085907e-04	-4.367897e+00
5.700000e-07	-1.596238e-03	-4.396949e+00
5.800000e-07	-1.534072e-03	-4.388996e+00
5.900000e-07	-1.730345e-03	-4.388546e+00
6.000000e-07	2.934841e-04	-4.369023e+00
6.100000e-07	-1.239768e-03	-4.419974e+00
6.200000e-07	3.146648e-04	-4.409999e+00
6.300000e-07	5.209249e-06	-4.410026e+00
6.400000e-07	1.075458e-03	-4.419529e+00
6.500000e-07	-2.261003e-03	-4.429475e+00
6.600000e-07	-1.604292e-03	-4.410025e+00
6.700000e-07	-1.761215e-03	-4.380625e+00
6.800000e-07	-1.432028e-03	-4.430052e+00
6.900000e-07	5.761246e-06	-4.420554e+00
7.000000e-07	4.037775e-04	-4.421051e+00
7.100000e-07	8.377318e-04	-4.420603e+00
7.200000e-07	3.190790e-04	-4.440554e+00
