# Temperatura_=_4.90836036036036
# Concentracion g/m^3_=_2000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135022.97816724423
# Promedio de 1110 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.311068e-09	-1.293304e-09	-3.842437e+01	-8.555349e+01
1.000000e-08	-5.311157e-09	-1.286698e-09	-3.842501e+01	-8.541661e+01
2.000000e-08	-5.311040e-09	-1.283983e-09	-3.842416e+01	-8.528086e+01
3.000000e-08	-5.310666e-09	-1.282967e-09	-3.842146e+01	-8.514648e+01
4.000000e-08	-5.309935e-09	-1.275174e-09	-3.841617e+01	-8.501368e+01
5.000000e-08	-5.308742e-09	-1.259797e-09	-3.840754e+01	-8.488266e+01
6.000000e-08	-5.307002e-09	-1.253273e-09	-3.839495e+01	-8.475357e+01
7.000000e-08	-5.304654e-09	-1.269087e-09	-3.837796e+01	-8.462651e+01
8.000000e-08	-5.301677e-09	-1.297884e-09	-3.835642e+01	-8.450155e+01
9.000000e-08	-5.298122e-09	-1.330621e-09	-3.833070e+01	-8.437874e+01
1.000000e-07	-5.294130e-09	-1.342017e-09	-3.830182e+01	-8.425805e+01
1.100000e-07	-5.289889e-09	-1.308811e-09	-3.827113e+01	-8.413945e+01
1.200000e-07	-5.285496e-09	-1.251462e-09	-3.823935e+01	-8.402283e+01
1.300000e-07	-5.280857e-09	-1.233608e-09	-3.820579e+01	-8.390807e+01
1.400000e-07	-5.275816e-09	-1.264801e-09	-3.816932e+01	-8.379499e+01
1.500000e-07	-5.270364e-09	-1.255731e-09	-3.812987e+01	-8.368337e+01
1.600000e-07	-5.264584e-09	-1.210435e-09	-3.808806e+01	-8.357297e+01
1.700000e-07	-5.258454e-09	-1.226835e-09	-3.804370e+01	-8.346350e+01
1.800000e-07	-5.251898e-09	-1.317016e-09	-3.799627e+01	-8.335462e+01
1.900000e-07	-5.244955e-09	-1.338256e-09	-3.794604e+01	-8.324599e+01
2.000000e-07	-5.237734e-09	-1.257594e-09	-3.789380e+01	-8.313721e+01
2.100000e-07	-5.230260e-09	-1.208447e-09	-3.783972e+01	-8.302788e+01
2.200000e-07	-5.222501e-09	-1.238657e-09	-3.778359e+01	-8.291755e+01
2.300000e-07	-5.214471e-09	-1.254895e-09	-3.772549e+01	-8.280576e+01
2.400000e-07	-5.206131e-09	-1.233477e-09	-3.766515e+01	-8.269204e+01
2.500000e-07	-5.197308e-09	-1.252958e-09	-3.760132e+01	-8.257590e+01
2.600000e-07	-5.187872e-09	-1.295939e-09	-3.753305e+01	-8.245683e+01
2.700000e-07	-5.177864e-09	-1.290040e-09	-3.746064e+01	-8.233432e+01
2.800000e-07	-5.167348e-09	-1.260866e-09	-3.738456e+01	-8.220788e+01
2.900000e-07	-5.156337e-09	-1.260840e-09	-3.730490e+01	-8.207698e+01
3.000000e-07	-5.144867e-09	-1.255058e-09	-3.722191e+01	-8.194114e+01
3.100000e-07	-5.132991e-09	-1.238878e-09	-3.713599e+01	-8.179985e+01
3.200000e-07	-5.120745e-09	-1.261336e-09	-3.704739e+01	-8.165264e+01
3.300000e-07	-5.108141e-09	-1.292359e-09	-3.695620e+01	-8.149905e+01
3.400000e-07	-5.095164e-09	-1.266683e-09	-3.686232e+01	-8.133863e+01
3.500000e-07	-5.081801e-09	-1.231957e-09	-3.676564e+01	-8.117098e+01
3.600000e-07	-5.068071e-09	-1.238629e-09	-3.666630e+01	-8.099569e+01
3.700000e-07	-5.053987e-09	-1.239031e-09	-3.656441e+01	-8.081242e+01
3.800000e-07	-5.039476e-09	-1.210432e-09	-3.645942e+01	-8.062084e+01
3.900000e-07	-5.024425e-09	-1.207424e-09	-3.635053e+01	-8.042065e+01
4.000000e-07	-5.008815e-09	-1.228405e-09	-3.623760e+01	-8.021160e+01
4.100000e-07	-4.992723e-09	-1.233854e-09	-3.612117e+01	-7.999348e+01
4.200000e-07	-4.976219e-09	-1.227035e-09	-3.600177e+01	-7.976612e+01
4.300000e-07	-4.959371e-09	-1.218715e-09	-3.587987e+01	-7.952939e+01
4.400000e-07	-4.942238e-09	-1.199301e-09	-3.575592e+01	-7.928318e+01
4.500000e-07	-4.924834e-09	-1.187246e-09	-3.563001e+01	-7.902746e+01
4.600000e-07	-4.907134e-09	-1.191582e-09	-3.550195e+01	-7.876222e+01
4.700000e-07	-4.889099e-09	-1.189074e-09	-3.537147e+01	-7.848750e+01
4.800000e-07	-4.870678e-09	-1.179985e-09	-3.523819e+01	-7.820337e+01
4.900000e-07	-4.851839e-09	-1.185047e-09	-3.510190e+01	-7.790995e+01
5.000000e-07	-4.832608e-09	-1.191980e-09	-3.496277e+01	-7.760739e+01
5.100000e-07	-4.813052e-09	-1.180921e-09	-3.482128e+01	-7.729588e+01
5.200000e-07	-4.793243e-09	-1.163124e-09	-3.467797e+01	-7.697565e+01
5.300000e-07	-4.773227e-09	-1.153584e-09	-3.453315e+01	-7.664696e+01
5.400000e-07	-4.752994e-09	-1.151997e-09	-3.438677e+01	-7.631008e+01
5.500000e-07	-4.732479e-09	-1.151915e-09	-3.423835e+01	-7.596534e+01
5.600000e-07	-4.711624e-09	-1.147222e-09	-3.408746e+01	-7.561305e+01
5.700000e-07	-4.690424e-09	-1.138420e-09	-3.393409e+01	-7.525357e+01
5.800000e-07	-4.668904e-09	-1.136042e-09	-3.377839e+01	-7.488727e+01
5.900000e-07	-4.647091e-09	-1.135160e-09	-3.362058e+01	-7.451453e+01
6.000000e-07	-4.624988e-09	-1.124329e-09	-3.346066e+01	-7.413573e+01
6.100000e-07	-4.602564e-09	-1.109958e-09	-3.329843e+01	-7.375127e+01
6.200000e-07	-4.579797e-09	-1.105659e-09	-3.313371e+01	-7.336153e+01
6.300000e-07	-4.556683e-09	-1.105586e-09	-3.296650e+01	-7.296691e+01
6.400000e-07	-4.533251e-09	-1.100823e-09	-3.279697e+01	-7.256778e+01
6.500000e-07	-4.509555e-09	-1.090345e-09	-3.262553e+01	-7.216452e+01
6.600000e-07	-4.485645e-09	-1.080327e-09	-3.245255e+01	-7.175749e+01
6.700000e-07	-4.461531e-09	-1.074442e-09	-3.227809e+01	-7.134703e+01
6.800000e-07	-4.437166e-09	-1.070856e-09	-3.210181e+01	-7.093346e+01
6.900000e-07	-4.412471e-09	-1.063376e-09	-3.192314e+01	-7.051709e+01
7.000000e-07	-4.387371e-09	-1.055557e-09	-3.174155e+01	-7.009818e+01
7.100000e-07	-4.361819e-09	-1.053821e-09	-3.155669e+01	-6.967699e+01
7.200000e-07	-4.335783e-09	-1.054918e-09	-3.136832e+01	-6.925373e+01
7.300000e-07	-4.309259e-09	-1.048311e-09	-3.117643e+01	-6.882860e+01
7.400000e-07	-4.282285e-09	-1.035631e-09	-3.098128e+01	-6.840175e+01
7.500000e-07	-4.254933e-09	-1.025948e-09	-3.078340e+01	-6.797331e+01
7.600000e-07	-4.227292e-09	-1.021154e-09	-3.058341e+01	-6.754336e+01
7.700000e-07	-4.199430e-09	-1.015878e-09	-3.038184e+01	-6.711198e+01
7.800000e-07	-4.171385e-09	-1.007964e-09	-3.017894e+01	-6.667917e+01
7.900000e-07	-4.143148e-09	-1.002086e-09	-2.997465e+01	-6.624494e+01
8.000000e-07	-4.114667e-09	-1.000997e-09	-2.976859e+01	-6.580925e+01
8.100000e-07	-4.085890e-09	-9.980773e-10	-2.956040e+01	-6.537202e+01
8.200000e-07	-4.056798e-09	-9.869522e-10	-2.934992e+01	-6.493316e+01
8.300000e-07	-4.027404e-09	-9.725675e-10	-2.913726e+01	-6.449254e+01
8.400000e-07	-3.997733e-09	-9.627774e-10	-2.892260e+01	-6.405001e+01
8.500000e-07	-3.967809e-09	-9.582100e-10	-2.870611e+01	-6.360539e+01
8.600000e-07	-3.937651e-09	-9.528601e-10	-2.848792e+01	-6.315848e+01
8.700000e-07	-3.907258e-09	-9.449704e-10	-2.826803e+01	-6.270908e+01
