# 251112_15:54:09.311582
t	CH1	CH2
0.000000e+00	1.775901e-03	-3.516266e+00
1.000000e-08	-3.616824e-03	-3.503772e+00
2.000000e-08	1.614347e-03	-3.517345e+00
3.000000e-08	-3.770282e-03	-3.548397e+00
4.000000e-08	2.733545e-03	-3.559375e+00
5.000000e-08	-3.366331e-03	-3.549475e+00
6.000000e-08	1.895514e-03	-3.600053e+00
7.000000e-08	-4.244546e-03	-3.611032e+00
8.000000e-08	1.631636e-03	-3.630981e+00
9.000000e-08	-3.421320e-03	-3.660688e+00
1.000000e-07	1.622294e-03	-3.672187e+00
1.100000e-07	-3.276974e-03	-3.684242e+00
1.200000e-07	6.847047e-04	-3.737400e+00
1.300000e-07	-2.364258e-03	-3.718986e+00
1.400000e-07	6.158115e-04	-3.827056e+00
1.500000e-07	-2.291577e-03	-3.804235e+00
1.600000e-07	4.537451e-04	-3.892711e+00
1.700000e-07	-1.830456e-03	-3.886818e+00
1.800000e-07	4.357404e-04	-3.935896e+00
1.900000e-07	-1.360632e-03	-3.948921e+00
2.000000e-07	-1.224087e-04	-3.988424e+00
2.100000e-07	-1.659195e-03	-3.989976e+00
2.200000e-07	-7.993666e-04	-4.000001e+00
2.300000e-07	-1.597695e-03	-3.990030e+00
2.400000e-07	-9.420374e-04	-4.011031e+00
2.500000e-07	-3.170438e-04	-4.031103e+00
2.600000e-07	-1.343842e-03	-4.043609e+00
2.700000e-07	8.180571e-05	-4.011639e+00
2.800000e-07	-1.089939e-03	-4.082137e+00
2.900000e-07	2.037058e-04	-4.114166e+00
3.000000e-07	-1.032074e-03	-4.100217e+00
3.100000e-07	6.634222e-04	-4.106195e+00
3.200000e-07	-2.093903e-03	-4.157849e+00
3.300000e-07	-1.293111e-04	-4.156346e+00
3.400000e-07	-2.007033e-03	-4.168528e+00
3.500000e-07	-4.078634e-07	-4.207476e+00
3.600000e-07	-2.087578e-03	-4.199504e+00
3.700000e-07	3.823885e-04	-4.220532e+00
3.800000e-07	-1.102963e-03	-4.220529e+00
3.900000e-07	1.251081e-03	-4.241134e+00
4.000000e-07	-1.361248e-03	-4.262134e+00
4.100000e-07	1.559598e-05	-4.263140e+00
4.200000e-07	-1.318196e-03	-4.262663e+00
4.300000e-07	-9.025571e-05	-4.264764e+00
