# 251112_13:58:46.746931
t	CH1	CH2
0.000000e+00	-3.567701e-04	-3.451707e+00
1.000000e-08	-4.974069e-03	-3.462713e+00
2.000000e-08	2.462392e-04	-3.496265e+00
3.000000e-08	-2.543204e-03	-3.557892e+00
4.000000e-08	-1.333067e-03	-3.557374e+00
5.000000e-08	-3.195160e-03	-3.579471e+00
6.000000e-08	-1.947654e-03	-3.579473e+00
7.000000e-08	-1.363466e-03	-3.589501e+00
8.000000e-08	-3.830077e-03	-3.620526e+00
9.000000e-08	-1.992801e-03	-3.641628e+00
1.000000e-07	-3.655070e-03	-3.651533e+00
1.100000e-07	7.474126e-04	-3.674187e+00
1.200000e-07	-3.807191e-03	-3.714237e+00
1.300000e-07	-7.961678e-05	-3.768017e+00
1.400000e-07	-4.757620e-03	-3.749370e+00
1.500000e-07	2.255517e-04	-3.838548e+00
1.600000e-07	-4.145158e-03	-3.812079e+00
1.700000e-07	-2.268866e-04	-3.913759e+00
1.800000e-07	-5.160153e-03	-3.895866e+00
1.900000e-07	1.083795e-03	-3.926871e+00
2.000000e-07	-4.131441e-03	-3.977422e+00
2.100000e-07	-6.064222e-04	-3.949947e+00
2.200000e-07	-5.401921e-03	-3.978924e+00
2.300000e-07	1.694484e-04	-3.980525e+00
2.400000e-07	-3.386125e-03	-3.990103e+00
2.500000e-07	-8.631048e-05	-4.001026e+00
2.600000e-07	-4.114947e-03	-4.011553e+00
2.700000e-07	1.798081e-07	-4.043005e+00
2.800000e-07	-2.619701e-03	-4.022159e+00
2.900000e-07	-5.273659e-04	-4.054213e+00
3.000000e-07	-3.201523e-03	-4.075243e+00
3.100000e-07	-8.816434e-04	-4.086116e+00
3.200000e-07	-1.804453e-03	-4.147716e+00
3.300000e-07	-1.129310e-03	-4.147396e+00
3.400000e-07	-2.627759e-03	-4.157924e+00
3.500000e-07	-2.191233e-03	-4.179924e+00
3.600000e-07	-1.367203e-03	-4.199400e+00
3.700000e-07	-2.936806e-03	-4.210554e+00
3.800000e-07	-1.409962e-03	-4.201506e+00
3.900000e-07	-2.192322e-03	-4.211083e+00
4.000000e-07	-3.483867e-04	-4.241578e+00
4.100000e-07	-2.374052e-03	-4.222131e+00
4.200000e-07	-1.192516e-03	-4.264133e+00
4.300000e-07	-3.386108e-03	-4.293686e+00
4.400000e-07	-7.637106e-04	-4.316789e+00
4.500000e-07	-2.659908e-03	-4.266261e+00
4.600000e-07	-1.389146e-03	-4.347368e+00
4.700000e-07	-3.413223e-03	-4.286893e+00
4.800000e-07	-8.353033e-04	-4.367872e+00
4.900000e-07	-2.884614e-03	-4.328921e+00
5.000000e-07	-7.777638e-04	-4.358472e+00
5.100000e-07	-3.196381e-03	-4.378425e+00
5.200000e-07	-3.197076e-04	-4.368446e+00
5.300000e-07	-2.345083e-03	-4.388949e+00
5.400000e-07	-6.899095e-04	-4.389999e+00
5.500000e-07	-3.565061e-03	-4.389975e+00
5.600000e-07	-1.326397e-03	-4.420501e+00
5.700000e-07	-2.314845e-03	-4.390525e+00
5.800000e-07	-2.206853e-03	-4.389551e+00
5.900000e-07	-3.705445e-03	-4.410550e+00
6.000000e-07	-2.300149e-03	-4.400525e+00
6.100000e-07	-6.555129e-04	-4.400550e+00
6.200000e-07	-8.217941e-04	-4.412083e+00
6.300000e-07	-2.037528e-03	-4.422630e+00
6.400000e-07	-2.300059e-03	-4.441529e+00
6.500000e-07	-2.135903e-03	-4.413106e+00
6.600000e-07	-2.613474e-03	-4.442530e+00
6.700000e-07	-3.433088e-03	-4.431130e+00
6.800000e-07	-3.327042e-03	-4.433604e+00
6.900000e-07	-1.122228e-03	-4.412629e+00
7.000000e-07	-1.135249e-03	-4.453084e+00
7.100000e-07	-1.400167e-03	-4.473707e+00
7.200000e-07	-2.767216e-03	-4.465658e+00
7.300000e-07	-2.103847e-03	-4.471184e+00
7.400000e-07	-2.518445e-03	-4.442607e+00
7.500000e-07	-2.025342e-03	-4.453185e+00
7.600000e-07	-2.741782e-03	-4.495759e+00
7.700000e-07	-1.575412e-03	-4.494186e+00
7.800000e-07	-1.755137e-03	-4.505262e+00
7.900000e-07	-8.430327e-04	-4.484686e+00
8.000000e-07	-2.315852e-03	-4.453113e+00
8.100000e-07	-2.112595e-03	-4.463136e+00
8.200000e-07	-1.375631e-03	-4.463739e+00
8.300000e-07	-1.188819e-03	-4.474614e+00
8.400000e-07	-2.562455e-03	-4.464612e+00
8.500000e-07	-2.350276e-03	-4.475715e+00
8.600000e-07	-2.705724e-03	-4.513667e+00
8.700000e-07	-1.380737e-03	-4.454210e+00
8.800000e-07	-1.869187e-03	-4.454112e+00
8.900000e-07	-2.089142e-03	-4.494160e+00
9.000000e-07	-2.464792e-03	-4.474109e+00
9.100000e-07	-1.059734e-03	-4.473637e+00
9.200000e-07	-1.157331e-03	-4.443635e+00
9.300000e-07	-2.299688e-03	-4.454084e+00
9.400000e-07	-2.931113e-03	-4.482091e+00
9.500000e-07	-1.695670e-03	-4.452088e+00
9.600000e-07	-1.384786e-03	-4.441135e+00
9.700000e-07	-1.995434e-03	-4.431606e+00
9.800000e-07	-2.158726e-03	-4.462559e+00
9.900000e-07	-2.135825e-03	-4.411053e+00
1.000000e-06	-1.326963e-04	-4.422604e+00
1.010000e-06	-2.175677e-03	-4.411553e+00
1.020000e-06	-2.934490e-03	-4.431482e+00
1.030000e-06	-2.830904e-03	-4.433580e+00
1.040000e-06	-3.295340e-03	-4.421529e+00
1.050000e-06	-1.005791e-04	-4.400051e+00
1.060000e-06	-2.404085e-03	-4.400550e+00
1.070000e-06	2.046863e-04	-4.430528e+00
1.080000e-06	-3.059403e-03	-4.410051e+00
1.090000e-06	4.261887e-04	-4.410078e+00
1.100000e-06	-4.699609e-03	-4.368999e+00
1.110000e-06	-2.319959e-03	-4.399473e+00
1.120000e-06	-4.115574e-03	-4.388499e+00
1.130000e-06	-5.592785e-04	-4.388902e+00
1.140000e-06	-1.606847e-03	-4.368423e+00
1.150000e-06	-1.752525e-04	-4.368925e+00
1.160000e-06	-1.589760e-03	-4.386946e+00
1.170000e-06	-9.762113e-04	-4.358947e+00
1.180000e-06	-4.205837e-03	-4.377370e+00
1.190000e-06	-3.215593e-03	-4.337871e+00
1.200000e-06	-4.411073e-03	-4.295792e+00
1.210000e-06	-1.614447e-03	-4.316316e+00
1.220000e-06	-1.578931e-03	-4.304161e+00
1.230000e-06	-3.839124e-04	-4.262635e+00
1.240000e-06	-1.154025e-03	-4.251183e+00
1.250000e-06	-1.990700e-03	-4.243082e+00
1.260000e-06	-2.744950e-03	-4.233580e+00
1.270000e-06	-3.489830e-03	-4.232550e+00
1.280000e-06	-2.495775e-03	-4.209578e+00
1.290000e-06	-2.865005e-03	-4.180003e+00
1.300000e-06	-4.117238e-04	-4.197975e+00
1.310000e-06	-2.374751e-03	-4.199974e+00
1.320000e-06	-7.816780e-04	-4.137898e+00
1.330000e-06	-2.994772e-03	-4.137870e+00
1.340000e-06	-1.425794e-03	-4.136820e+00
1.350000e-06	-3.866977e-03	-4.094792e+00
1.360000e-06	-1.999471e-03	-4.105136e+00
1.370000e-06	-2.490004e-03	-4.094184e+00
1.380000e-06	-1.291660e-03	-4.031055e+00
1.390000e-06	-3.025876e-03	-4.012605e+00
1.400000e-06	-2.090983e-03	-4.011583e+00
1.410000e-06	-2.409239e-03	-4.010498e+00
1.420000e-06	-1.680536e-03	-4.020528e+00
1.430000e-06	-3.319892e-03	-4.000003e+00
1.440000e-06	-1.963460e-03	-3.979449e+00
1.450000e-06	-1.970814e-03	-3.958474e+00
1.460000e-06	-1.794978e-03	-3.979921e+00
1.470000e-06	-2.631160e-03	-3.937847e+00
1.480000e-06	-2.523519e-03	-3.894766e+00
1.490000e-06	-2.592019e-03	-3.875264e+00
1.500000e-06	-2.495724e-03	-3.831235e+00
1.510000e-06	-2.435647e-03	-3.843009e+00
1.520000e-06	-2.439353e-03	-3.801450e+00
1.530000e-06	-1.495115e-03	-3.749796e+00
1.540000e-06	-8.382790e-04	-3.708796e+00
1.550000e-06	-1.800498e-03	-3.694663e+00
1.560000e-06	-2.635068e-03	-3.654108e+00
1.570000e-06	-2.410784e-03	-3.621609e+00
1.580000e-06	-2.180293e-03	-3.621083e+00
1.590000e-06	-2.125824e-03	-3.620080e+00
