# 251112_13:56:46.133321
t	CH1	CH2
0.000000e+00	-3.145549e-03	-3.483111e+00
1.000000e-08	-1.281769e-03	-3.503185e+00
2.000000e-08	-1.261515e-03	-3.544761e+00
3.000000e-08	2.478106e-05	-3.535717e+00
4.000000e-08	-3.705261e-03	-3.589394e+00
5.000000e-08	-3.676359e-05	-3.589921e+00
6.000000e-08	-2.853241e-03	-3.619998e+00
7.000000e-08	3.631016e-04	-3.619526e+00
8.000000e-08	-4.694037e-03	-3.631001e+00
9.000000e-08	-6.460644e-04	-3.621078e+00
1.000000e-07	-3.105634e-03	-3.631103e+00
1.100000e-07	1.296782e-03	-3.745208e+00
1.200000e-07	-3.331502e-03	-3.694159e+00
1.300000e-07	-1.028569e-03	-3.736884e+00
1.400000e-07	-3.713187e-03	-3.797920e+00
1.500000e-07	1.712598e-03	-3.829950e+00
1.600000e-07	-3.037308e-03	-3.821023e+00
1.700000e-07	-4.463622e-04	-3.895675e+00
1.800000e-07	-2.699730e-03	-3.943713e+00
1.900000e-07	-1.113647e-04	-3.957266e+00
2.000000e-07	-2.665761e-03	-3.958868e+00
2.100000e-07	-3.450781e-03	-3.959442e+00
2.200000e-07	-2.348364e-03	-4.019976e+00
2.300000e-07	1.211314e-04	-4.000475e+00
2.400000e-07	-6.493967e-04	-4.010000e+00
2.500000e-07	-1.674495e-04	-4.032053e+00
2.600000e-07	-2.334758e-03	-4.060976e+00
2.700000e-07	-1.237775e-03	-4.072558e+00
2.800000e-07	-3.359650e-03	-4.081630e+00
2.900000e-07	-3.421865e-03	-4.105209e+00
3.000000e-07	-2.477754e-03	-4.104311e+00
3.100000e-07	3.585192e-04	-4.074764e+00
3.200000e-07	8.800447e-04	-4.166760e+00
3.300000e-07	-2.358690e-04	-4.157892e+00
3.400000e-07	-3.759559e-03	-4.199921e+00
3.500000e-07	-2.608415e-03	-4.157424e+00
3.600000e-07	-2.787597e-03	-4.209978e+00
3.700000e-07	-2.260024e-03	-4.220470e+00
3.800000e-07	-3.637593e-03	-4.229551e+00
3.900000e-07	-5.643916e-05	-4.211600e+00
4.000000e-07	3.003539e-05	-4.230553e+00
4.100000e-07	1.215211e-03	-4.293078e+00
4.200000e-07	-2.551973e-03	-4.302608e+00
4.300000e-07	-2.101316e-03	-4.274105e+00
4.400000e-07	-2.740218e-03	-4.304758e+00
4.500000e-07	-1.719174e-03	-4.303733e+00
4.600000e-07	-2.147284e-03	-4.325762e+00
4.700000e-07	-9.189417e-04	-4.317838e+00
4.800000e-07	-1.381335e-03	-4.376740e+00
4.900000e-07	-1.762024e-04	-4.377967e+00
5.000000e-07	-1.981569e-03	-4.369450e+00
5.100000e-07	-8.431479e-04	-4.368445e+00
5.200000e-07	-1.727342e-03	-4.378946e+00
5.300000e-07	-9.129607e-04	-4.378921e+00
5.400000e-07	-1.075350e-03	-4.389975e+00
5.500000e-07	-2.619382e-03	-4.389949e+00
5.600000e-07	-1.060801e-03	-4.409476e+00
5.700000e-07	-1.656181e-03	-4.428974e+00
5.800000e-07	-7.232210e-04	-4.399500e+00
5.900000e-07	-1.275470e-03	-4.420526e+00
6.000000e-07	2.436334e-04	-4.450525e+00
6.100000e-07	-1.241622e-03	-4.421079e+00
6.200000e-07	1.333661e-04	-4.450576e+00
6.300000e-07	-1.680765e-03	-4.431128e+00
6.400000e-07	-5.813380e-04	-4.431529e+00
6.500000e-07	-1.917095e-03	-4.432529e+00
6.600000e-07	-1.561277e-03	-4.442604e+00
6.700000e-07	-1.837470e-03	-4.421630e+00
6.800000e-07	-8.154364e-05	-4.461078e+00
6.900000e-07	-9.747134e-05	-4.492578e+00
7.000000e-07	2.088011e-04	-4.451657e+00
7.100000e-07	-1.346920e-03	-4.493083e+00
7.200000e-07	-6.504745e-04	-4.493609e+00
7.300000e-07	-1.590130e-03	-4.472155e+00
7.400000e-07	-1.041579e-03	-4.501658e+00
7.500000e-07	-1.771653e-03	-4.483210e+00
7.600000e-07	-6.789642e-04	-4.492679e+00
7.700000e-07	1.546079e-04	-4.482107e+00
7.800000e-07	2.095696e-04	-4.482680e+00
7.900000e-07	-1.475580e-03	-4.503184e+00
8.000000e-07	-9.126963e-04	-4.513709e+00
8.100000e-07	-2.947915e-04	-4.472784e+00
8.200000e-07	-1.001473e-03	-4.482209e+00
8.300000e-07	-9.563136e-04	-4.493233e+00
8.400000e-07	-9.467353e-04	-4.504157e+00
8.500000e-07	-3.502474e-04	-4.473762e+00
8.600000e-07	-1.190892e-03	-4.483553e+00
8.700000e-07	-7.975249e-04	-4.473110e+00
8.800000e-07	-1.489116e-03	-4.472662e+00
8.900000e-07	-9.218675e-04	-4.493133e+00
9.000000e-07	-3.202495e-04	-4.481684e+00
9.100000e-07	-3.070959e-04	-4.472658e+00
9.200000e-07	-1.417858e-03	-4.441184e+00
9.300000e-07	-7.592615e-04	-4.402730e+00
9.400000e-07	-1.305453e-03	-4.492157e+00
9.500000e-07	-7.158780e-04	-4.463109e+00
9.600000e-07	-1.581527e-03	-4.462032e+00
9.700000e-07	-4.488544e-04	-4.450579e+00
9.800000e-07	-1.758757e-04	-4.442132e+00
9.900000e-07	-4.368420e-04	-4.431579e+00
1.000000e-06	-1.385011e-03	-4.442085e+00
1.010000e-06	3.448880e-04	-4.452078e+00
1.020000e-06	-9.982928e-04	-4.472480e+00
1.030000e-06	-1.495147e-03	-4.430578e+00
1.040000e-06	-1.506147e-03	-4.411001e+00
1.050000e-06	1.616044e-04	-4.400076e+00
1.060000e-06	-5.464874e-04	-4.420499e+00
1.070000e-06	1.487236e-04	-4.390501e+00
1.080000e-06	-4.065230e-04	-4.389425e+00
1.090000e-06	4.062400e-04	-4.387526e+00
1.100000e-06	7.507234e-05	-4.369999e+00
1.110000e-06	-6.308311e-04	-4.408949e+00
1.120000e-06	-8.995189e-04	-4.379974e+00
1.130000e-06	-8.743273e-04	-4.379450e+00
1.140000e-06	4.926168e-04	-4.357996e+00
1.150000e-06	-5.951163e-04	-4.367945e+00
1.160000e-06	-7.334281e-04	-4.379844e+00
1.170000e-06	-6.843545e-04	-4.336898e+00
1.180000e-06	1.627166e-04	-4.337290e+00
1.190000e-06	-4.378520e-05	-4.326315e+00
1.200000e-06	-6.545000e-04	-4.366263e+00
1.210000e-06	-8.050357e-04	-4.345236e+00
1.220000e-06	-5.845944e-06	-4.293707e+00
1.230000e-06	-9.311547e-04	-4.302233e+00
1.240000e-06	-7.697902e-04	-4.252131e+00
1.250000e-06	1.493838e-04	-4.250679e+00
1.260000e-06	4.826953e-04	-4.222053e+00
1.270000e-06	7.942618e-04	-4.221550e+00
1.280000e-06	-8.564455e-04	-4.220502e+00
1.290000e-06	-1.111843e-03	-4.198974e+00
1.300000e-06	-3.501410e-04	-4.138503e+00
1.310000e-06	-2.665371e-04	-4.178974e+00
1.320000e-06	-1.157508e-04	-4.197943e+00
1.330000e-06	-1.002183e-03	-4.127416e+00
1.340000e-06	-6.823189e-04	-4.125896e+00
1.350000e-06	2.916147e-04	-4.107187e+00
1.360000e-06	-7.691970e-05	-4.073161e+00
1.370000e-06	-7.180311e-04	-4.052233e+00
1.380000e-06	-5.377702e-04	-4.073030e+00
1.390000e-06	1.587210e-04	-4.000055e+00
1.400000e-06	-4.730705e-04	-4.031074e+00
1.410000e-06	-8.922456e-04	-4.021051e+00
1.420000e-06	-7.912495e-04	-3.998499e+00
1.430000e-06	-6.317859e-04	-4.000024e+00
1.440000e-06	4.034647e-04	-3.988449e+00
1.450000e-06	-9.411171e-04	-3.978421e+00
1.460000e-06	-1.528065e-03	-3.988948e+00
1.470000e-06	-5.385203e-04	-3.937321e+00
1.480000e-06	-8.753316e-04	-3.894339e+00
1.490000e-06	-1.037515e-03	-3.843744e+00
1.500000e-06	-8.146465e-04	-3.832183e+00
1.510000e-06	-5.382227e-05	-3.850499e+00
1.520000e-06	-6.808844e-04	-3.749376e+00
1.530000e-06	-1.247394e-03	-3.725916e+00
1.540000e-06	-1.117384e-03	-3.713836e+00
1.550000e-06	-8.648517e-04	-3.643261e+00
1.560000e-06	-1.252408e-03	-3.651633e+00
1.570000e-06	-9.018040e-04	-3.661575e+00
1.580000e-06	-2.059152e-03	-3.619555e+00
1.590000e-06	-7.548623e-04	-3.619976e+00
1.600000e-06	-7.711854e-04	-3.598975e+00
1.610000e-06	-9.060021e-04	-3.578424e+00
1.620000e-06	-1.857155e-03	-3.587371e+00
1.630000e-06	-2.274277e-03	-3.538370e+00
1.640000e-06	-1.478130e-03	-3.544795e+00
1.650000e-06	-1.416458e-03	-3.463736e+00
1.660000e-06	-1.795445e-03	-3.452707e+00
1.670000e-06	-1.872594e-03	-3.441679e+00
1.680000e-06	-8.625362e-04	-3.411079e+00
1.690000e-06	-1.013818e-03	-3.389551e+00
1.700000e-06	-1.958219e-03	-3.348421e+00
1.710000e-06	-2.693911e-03	-3.286345e+00
1.720000e-06	-1.801640e-03	-3.366861e+00
1.730000e-06	-1.434873e-03	-3.253840e+00
1.740000e-06	-1.175956e-03	-3.271239e+00
1.750000e-06	-1.981435e-03	-3.272655e+00
1.760000e-06	-1.798126e-03	-3.229951e+00
1.770000e-06	-2.138610e-03	-3.230051e+00
1.780000e-06	-1.554082e-03	-3.159476e+00
1.790000e-06	-2.848288e-03	-3.177949e+00
1.800000e-06	-2.733904e-03	-3.147842e+00
1.810000e-06	-2.252563e-03	-3.133793e+00
1.820000e-06	-1.936852e-03	-3.094263e+00
1.830000e-06	-1.957779e-03	-3.019179e+00
1.840000e-06	-2.993707e-03	-2.968426e+00
1.850000e-06	-1.701990e-03	-2.904863e+00
1.860000e-06	-1.860411e-03	-2.903859e+00
1.870000e-06	-1.858822e-03	-2.852659e+00
1.880000e-06	-2.780941e-03	-2.821029e+00
1.890000e-06	-1.838272e-03	-2.819501e+00
1.900000e-06	-9.660921e-04	-2.778925e+00
1.910000e-06	-1.669806e-03	-2.757424e+00
1.920000e-06	-3.070868e-03	-2.747921e+00
1.930000e-06	-2.214691e-03	-2.734740e+00
1.940000e-06	-2.059489e-03	-2.663665e+00
1.950000e-06	-2.317236e-03	-2.632708e+00
1.960000e-06	-2.462540e-03	-2.601504e+00
1.970000e-06	-2.938855e-03	-2.560450e+00
1.980000e-06	-1.994842e-03	-2.578371e+00
1.990000e-06	-2.349831e-03	-2.516947e+00
2.000000e-06	-2.782859e-03	-2.493312e+00
2.010000e-06	-2.613644e-03	-2.442461e+00
2.020000e-06	-2.471530e-03	-2.452031e+00
2.030000e-06	-2.365519e-03	-2.419054e+00
2.040000e-06	-2.969570e-03	-2.338975e+00
2.050000e-06	-3.212846e-03	-2.388374e+00
2.060000e-06	-3.226680e-03	-2.358446e+00
2.070000e-06	-1.770071e-03	-2.305390e+00
2.080000e-06	-3.163369e-03	-2.263215e+00
2.090000e-06	-2.504653e-03	-2.200678e+00
2.100000e-06	-3.388607e-03	-2.170051e+00
2.110000e-06	-2.530519e-03	-2.103918e+00
2.120000e-06	-3.123544e-03	-2.053683e+00
2.130000e-06	-4.013553e-03	-2.022129e+00
2.140000e-06	-3.258922e-03	-1.999526e+00
2.150000e-06	-2.815131e-03	-1.978997e+00
2.160000e-06	-3.326895e-03	-1.958949e+00
2.170000e-06	-4.099143e-03	-1.955918e+00
2.180000e-06	-3.349683e-03	-1.906335e+00
2.190000e-06	-2.826370e-03	-1.883157e+00
2.200000e-06	-2.737587e-03	-1.813077e+00
2.210000e-06	-3.422869e-03	-1.800550e+00
2.220000e-06	-3.879732e-03	-1.787950e+00
2.230000e-06	-3.521996e-03	-1.746442e+00
2.240000e-06	-3.397142e-03	-1.715288e+00
2.250000e-06	-4.114955e-03	-1.673285e+00
2.260000e-06	-3.240947e-03	-1.613603e+00
2.270000e-06	-3.858443e-03	-1.610526e+00
2.280000e-06	-3.593175e-03	-1.600501e+00
2.290000e-06	-4.157170e-03	-1.566425e+00
2.300000e-06	-3.268655e-03	-1.535769e+00
2.310000e-06	-3.829299e-03	-1.424809e+00
2.320000e-06	-3.838409e-03	-1.389525e+00
2.330000e-06	-4.429469e-03	-1.317322e+00
2.340000e-06	-4.280729e-03	-1.301839e+00
2.350000e-06	-3.631283e-03	-1.253130e+00
2.360000e-06	-3.217968e-03	-1.190506e+00
2.370000e-06	-3.758924e-03	-1.179469e+00
2.380000e-06	-4.366030e-03	-1.147920e+00
2.390000e-06	-3.610835e-03	-1.095318e+00
2.400000e-06	-4.035795e-03	-1.074634e+00
2.410000e-06	-3.966375e-03	-1.022630e+00
2.420000e-06	-4.677810e-03	-9.905037e-01
2.430000e-06	-3.642071e-03	-9.789949e-01
2.440000e-06	-4.258972e-03	-8.958960e-01
2.450000e-06	-3.823924e-03	-8.758169e-01
2.460000e-06	-4.201012e-03	-8.616589e-01
2.470000e-06	-3.800362e-03	-8.116250e-01
2.480000e-06	-4.429818e-03	-8.005275e-01
2.490000e-06	-4.185495e-03	-7.884474e-01
2.500000e-06	-4.047525e-03	-6.978961e-01
2.510000e-06	-4.122816e-03	-6.763170e-01
2.520000e-06	-4.261765e-03	-6.532330e-01
2.530000e-06	-4.620049e-03	-6.104261e-01
2.540000e-06	-4.102342e-03	-4.989973e-01
2.550000e-06	-3.812966e-03	-5.043142e-01
2.560000e-06	-4.442121e-03	-4.311291e-01
2.570000e-06	-4.311727e-03	-4.110540e-01
2.580000e-06	-3.782251e-03	-3.689749e-01
2.590000e-06	-4.188869e-03	-3.589722e-01
2.600000e-06	-4.447066e-03	-3.268660e-01
2.610000e-06	-4.440799e-03	-2.932918e-01
2.620000e-06	-4.010786e-03	-2.426817e-01
2.630000e-06	-4.412159e-03	-2.200778e-01
2.640000e-06	-4.522267e-03	-1.990011e-01
2.650000e-06	-4.527707e-03	-1.374736e-01
2.660000e-06	-4.297209e-03	-8.539072e-02
2.670000e-06	-4.221973e-03	-7.211579e-02
2.680000e-06	-4.357289e-03	-2.270539e-02
2.690000e-06	-3.910379e-03	7.969997e-03
2.700000e-06	-2.949297e-03	-2.897369e-02
2.710000e-06	-2.492917e-03	5.152758e-02
2.720000e-06	-2.338762e-03	6.410770e-02
2.730000e-06	-2.741282e-03	1.261343e-01
2.740000e-06	-2.500327e-03	1.589482e-01
2.750000e-06	1.722576e-03	2.199739e-01
2.760000e-06	1.185553e-02	2.732266e-01
2.770000e-06	1.443207e-02	3.553204e-01
2.780000e-06	-9.177778e-03	4.108961e-01
2.790000e-06	-1.390559e-02	4.426250e-01
2.800000e-06	-7.553908e-03	4.525816e-01
2.810000e-06	-1.190364e-03	4.625815e-01
2.820000e-06	-6.586151e-03	4.851830e-01
2.830000e-06	-4.257565e-02	5.162896e-01
2.840000e-06	3.245592e-02	5.594171e-01
2.850000e-06	-1.615099e-03	6.014724e-01
2.860000e-06	2.292118e-02	6.406527e-01
2.870000e-06	-4.852524e-02	6.851604e-01
2.880000e-06	2.585922e-02	7.448396e-01
2.890000e-06	-1.462548e-02	7.804434e-01
2.900000e-06	-5.705394e-03	7.998736e-01
2.910000e-06	-2.100147e-02	8.404275e-01
2.920000e-06	2.159277e-02	8.220764e-01
2.930000e-06	1.309558e-03	8.971566e-01
2.940000e-06	-9.526937e-03	9.557369e-01
2.950000e-06	9.980696e-03	9.897221e-01
2.960000e-06	4.210122e-03	1.064683e+00
2.970000e-06	4.551387e-03	1.085658e+00
2.980000e-06	-2.762641e-02	1.149300e+00
2.990000e-06	2.809478e-02	1.187947e+00
3.000000e-06	-7.794038e-03	1.230473e+00
3.010000e-06	8.281451e-03	1.293556e+00
