# 251112_13:56:29.786684
t	CH1	CH2
0.000000e+00	1.527022e-03	-3.451558e+00
1.000000e-08	-5.588664e-03	-3.444132e+00
2.000000e-08	4.132041e-03	-3.494140e+00
3.000000e-08	-5.242442e-03	-3.547866e+00
4.000000e-08	-3.736097e-04	-3.568322e+00
5.000000e-08	-5.795371e-03	-3.569421e+00
6.000000e-08	2.422009e-03	-3.578924e+00
7.000000e-08	-2.866163e-03	-3.610499e+00
8.000000e-08	-5.931076e-04	-3.620001e+00
9.000000e-08	-4.023073e-03	-3.651029e+00
1.000000e-07	3.027937e-04	-3.630579e+00
1.100000e-07	-1.016605e-03	-3.642604e+00
1.200000e-07	-3.661921e-03	-3.662714e+00
1.300000e-07	-3.236241e-03	-3.724264e+00
1.400000e-07	-1.638503e-03	-3.735825e+00
1.500000e-07	2.072707e-03	-3.779399e+00
1.600000e-07	-2.325629e-03	-3.879952e+00
1.700000e-07	-8.133895e-04	-3.911139e+00
1.800000e-07	-3.025917e-03	-3.924210e+00
1.900000e-07	1.412432e-03	-3.955271e+00
2.000000e-07	-3.472939e-03	-3.957446e+00
2.100000e-07	-1.065846e-03	-3.988472e+00
2.200000e-07	-3.518480e-03	-3.979499e+00
2.300000e-07	2.534960e-03	-3.988949e+00
2.400000e-07	-1.850270e-03	-4.009026e+00
2.500000e-07	4.211267e-04	-4.000976e+00
2.600000e-07	-3.636691e-03	-4.020553e+00
2.700000e-07	5.708988e-04	-4.011130e+00
2.800000e-07	-2.272012e-03	-4.042153e+00
2.900000e-07	-2.155891e-04	-4.051583e+00
3.000000e-07	-2.796324e-03	-4.084610e+00
3.100000e-07	6.921686e-04	-4.132815e+00
3.200000e-07	-1.148387e-03	-4.114738e+00
3.300000e-07	3.344547e-04	-4.134818e+00
3.400000e-07	-2.967598e-03	-4.157367e+00
3.500000e-07	1.867326e-04	-4.168447e+00
3.600000e-07	-1.478136e-03	-4.197949e+00
3.700000e-07	-1.234521e-03	-4.198003e+00
3.800000e-07	-1.795330e-03	-4.180024e+00
3.900000e-07	-3.337204e-04	-4.200001e+00
4.000000e-07	-8.908543e-05	-4.230554e+00
4.100000e-07	-5.691944e-04	-4.241132e+00
4.200000e-07	-1.205941e-03	-4.282157e+00
4.300000e-07	-1.604810e-03	-4.294683e+00
4.400000e-07	-1.205683e-03	-4.263163e+00
4.500000e-07	-1.249230e-03	-4.283688e+00
4.600000e-07	-5.328182e-04	-4.296741e+00
4.700000e-07	-1.226170e-03	-4.305370e+00
4.800000e-07	1.854933e-04	-4.326367e+00
4.900000e-07	-1.015976e-03	-4.365420e+00
5.000000e-07	-4.098302e-04	-4.317395e+00
5.100000e-07	-1.660223e-03	-4.377872e+00
5.200000e-07	-3.824389e-04	-4.368895e+00
5.300000e-07	-1.319022e-03	-4.388474e+00
5.400000e-07	-1.635274e-04	-4.388921e+00
5.500000e-07	-1.477408e-03	-4.388974e+00
5.600000e-07	-1.952569e-04	-4.409448e+00
5.700000e-07	-1.992952e-03	-4.389522e+00
5.800000e-07	-1.098610e-03	-4.410001e+00
5.900000e-07	-2.802887e-03	-4.400026e+00
6.000000e-07	6.098970e-04	-4.400003e+00
6.100000e-07	-1.095144e-03	-4.420001e+00
6.200000e-07	-2.778690e-05	-4.401526e+00
6.300000e-07	-1.262239e-03	-4.430529e+00
6.400000e-07	-6.514167e-04	-4.422028e+00
6.500000e-07	-2.073546e-03	-4.402003e+00
6.600000e-07	-1.918153e-03	-4.431481e+00
6.700000e-07	-2.648962e-03	-4.430605e+00
6.800000e-07	-6.433300e-04	-4.462507e+00
6.900000e-07	-4.676049e-04	-4.441107e+00
7.000000e-07	-5.788756e-04	-4.461631e+00
7.100000e-07	-3.292131e-04	-4.453632e+00
7.200000e-07	-2.780259e-04	-4.433156e+00
7.300000e-07	-7.184313e-04	-4.451053e+00
7.400000e-07	-2.368175e-03	-4.442106e+00
7.500000e-07	-1.309989e-03	-4.462083e+00
7.600000e-07	-1.675397e-03	-4.472159e+00
7.700000e-07	-4.947015e-04	-4.502583e+00
7.800000e-07	-1.885263e-03	-4.492064e+00
7.900000e-07	-7.425924e-04	-4.493158e+00
8.000000e-07	-9.014514e-04	-4.433234e+00
8.100000e-07	1.171450e-03	-4.474588e+00
8.200000e-07	-2.296819e-03	-4.492663e+00
8.300000e-07	-1.080871e-04	-4.464161e+00
8.400000e-07	-1.786281e-03	-4.473181e+00
8.500000e-07	-7.641528e-04	-4.501209e+00
8.600000e-07	-1.277114e-03	-4.423155e+00
8.700000e-07	-1.497679e-03	-4.482660e+00
8.800000e-07	8.109942e-04	-4.442683e+00
8.900000e-07	5.083244e-04	-4.491128e+00
9.000000e-07	1.887970e-03	-4.502656e+00
9.100000e-07	-1.646092e-03	-4.492556e+00
9.200000e-07	6.594085e-04	-4.481157e+00
9.300000e-07	-2.239739e-03	-4.491610e+00
9.400000e-07	-1.036581e-03	-4.432058e+00
9.500000e-07	-3.069683e-03	-4.471078e+00
9.600000e-07	-1.626071e-05	-4.431629e+00
9.700000e-07	1.414531e-03	-4.422576e+00
9.800000e-07	3.388462e-03	-4.422581e+00
9.900000e-07	4.923975e-05	-4.421553e+00
1.000000e-06	2.396765e-04	-4.442553e+00
1.010000e-06	-2.056183e-03	-4.441528e+00
1.020000e-06	-7.916340e-04	-4.430028e+00
1.030000e-06	-3.381744e-03	-4.410999e+00
1.040000e-06	-1.499493e-03	-4.420576e+00
1.050000e-06	8.638863e-04	-4.410048e+00
1.060000e-06	2.388867e-03	-4.430551e+00
1.070000e-06	2.083515e-03	-4.410026e+00
1.080000e-06	-9.400607e-04	-4.410476e+00
1.090000e-06	-3.022720e-04	-4.389949e+00
1.100000e-06	-1.211877e-03	-4.378976e+00
1.110000e-06	-9.953817e-04	-4.389024e+00
1.120000e-06	-2.508821e-03	-4.400475e+00
1.130000e-06	9.164061e-04	-4.368922e+00
1.140000e-06	1.499475e-03	-4.378969e+00
1.150000e-06	1.964271e-03	-4.396945e+00
1.160000e-06	-1.176127e-03	-4.347389e+00
1.170000e-06	-3.913780e-05	-4.336396e+00
1.180000e-06	1.247468e-04	-4.346367e+00
1.190000e-06	2.914496e-04	-4.346289e+00
1.200000e-06	-1.521963e-03	-4.294187e+00
1.210000e-06	5.605709e-06	-4.286263e+00
1.220000e-06	6.538229e-04	-4.284234e+00
1.230000e-06	1.594483e-03	-4.272253e+00
1.240000e-06	-1.949235e-03	-4.262085e+00
1.250000e-06	-6.182793e-04	-4.232604e+00
1.260000e-06	-1.130122e-04	-4.220582e+00
1.270000e-06	8.053993e-04	-4.200503e+00
1.280000e-06	-4.436561e-04	-4.212548e+00
1.290000e-06	-4.858010e-04	-4.229973e+00
1.300000e-06	4.582578e-04	-4.189452e+00
1.310000e-06	1.719116e-04	-4.187946e+00
1.320000e-06	-1.450163e-03	-4.167920e+00
1.330000e-06	-1.709899e-03	-4.135765e+00
1.340000e-06	-1.143341e-04	-4.104841e+00
1.350000e-06	7.057073e-04	-4.114316e+00
1.360000e-06	-9.039235e-04	-4.091607e+00
1.370000e-06	-1.221577e-03	-4.093176e+00
1.380000e-06	-4.548701e-04	-4.080032e+00
1.390000e-06	3.542858e-04	-4.030551e+00
1.400000e-06	-1.298153e-04	-4.022078e+00
1.410000e-06	-1.677454e-03	-4.020553e+00
1.420000e-06	-8.823097e-04	-3.979476e+00
1.430000e-06	-6.056589e-04	-3.999973e+00
1.440000e-06	-1.001796e-04	-3.979921e+00
1.450000e-06	-1.936502e-03	-3.958898e+00
1.460000e-06	-3.205270e-04	-3.958372e+00
1.470000e-06	-5.707490e-04	-3.976341e+00
1.480000e-06	8.633236e-04	-3.914742e+00
1.490000e-06	-1.300851e-03	-3.896284e+00
1.500000e-06	-7.633564e-04	-3.844183e+00
1.510000e-06	-5.522586e-04	-3.819428e+00
1.520000e-06	7.660141e-05	-3.799446e+00
1.530000e-06	-1.627742e-03	-3.777767e+00
1.540000e-06	-1.311230e-03	-3.683739e+00
1.550000e-06	-5.667025e-04	-3.712154e+00
1.560000e-06	1.347263e-03	-3.673130e+00
1.570000e-06	-1.051503e-03	-3.652078e+00
1.580000e-06	-1.181982e-03	-3.611554e+00
1.590000e-06	-8.087347e-04	-3.599501e+00
1.600000e-06	1.655279e-04	-3.588949e+00
1.610000e-06	-8.578937e-04	-3.599445e+00
1.620000e-06	-2.261454e-03	-3.568367e+00
1.630000e-06	-8.527937e-04	-3.546939e+00
1.640000e-06	5.173394e-04	-3.515314e+00
1.650000e-06	4.540150e-04	-3.486189e+00
1.660000e-06	-1.406277e-03	-3.483133e+00
1.670000e-06	-7.067591e-04	-3.450080e+00
1.680000e-06	-8.397664e-05	-3.439503e+00
1.690000e-06	-7.399727e-05	-3.380049e+00
1.700000e-06	-2.346662e-03	-3.379921e+00
1.710000e-06	-2.233463e-03	-3.346816e+00
1.720000e-06	-1.688868e-03	-3.336316e+00
1.730000e-06	-5.037595e-04	-3.264159e+00
1.740000e-06	-1.755745e-03	-3.272658e+00
1.750000e-06	-2.573613e-03	-3.262603e+00
1.760000e-06	-8.895369e-04	-3.211528e+00
1.770000e-06	-6.097099e-04	-3.199475e+00
1.780000e-06	-8.241833e-04	-3.199450e+00
1.790000e-06	-1.878798e-03	-3.167847e+00
1.800000e-06	-1.655349e-03	-3.128415e+00
1.810000e-06	-1.087696e-03	-3.115389e+00
1.820000e-06	-1.472017e-03	-3.154570e+00
1.830000e-06	-1.659936e-03	-3.071694e+00
1.840000e-06	-1.461027e-03	-2.919945e+00
1.850000e-06	-6.260128e-04	-2.933912e+00
1.860000e-06	-1.723065e-03	-2.914234e+00
1.870000e-06	-2.432685e-03	-2.862555e+00
1.880000e-06	-2.713140e-03	-2.851553e+00
1.890000e-06	-1.918468e-03	-2.821001e+00
1.900000e-06	-2.412962e-03	-2.808474e+00
1.910000e-06	-2.079224e-03	-2.767896e+00
1.920000e-06	-1.841987e-03	-2.754417e+00
1.930000e-06	-1.675329e-03	-2.716440e+00
1.940000e-06	-1.768930e-03	-2.723709e+00
1.950000e-06	-2.821640e-03	-2.633555e+00
1.960000e-06	-3.033299e-03	-2.630049e+00
1.970000e-06	-2.825791e-03	-2.610544e+00
1.980000e-06	-1.949179e-03	-2.576321e+00
1.990000e-06	-2.319103e-03	-2.496361e+00
2.000000e-06	-1.836327e-03	-2.515766e+00
2.010000e-06	-1.681587e-03	-2.445177e+00
2.020000e-06	-1.752267e-03	-2.421077e+00
2.030000e-06	-2.837880e-03	-2.420525e+00
2.040000e-06	-3.009603e-03	-2.399501e+00
2.050000e-06	-2.496838e-03	-2.399471e+00
2.060000e-06	-2.146970e-03	-2.359442e+00
2.070000e-06	-3.363692e-03	-2.317813e+00
2.080000e-06	-2.114630e-03	-2.274758e+00
2.090000e-06	-2.227138e-03	-2.241076e+00
2.100000e-06	-3.152893e-03	-2.185920e+00
2.110000e-06	-3.282407e-03	-2.125763e+00
2.120000e-06	-3.414878e-03	-2.092654e+00
2.130000e-06	-3.511429e-03	-2.041524e+00
2.140000e-06	-2.834118e-03	-2.010026e+00
2.150000e-06	-3.463305e-03	-1.989974e+00
2.160000e-06	-3.040096e-03	-1.958470e+00
2.170000e-06	-2.321640e-03	-1.938840e+00
2.180000e-06	-2.249907e-03	-1.915211e+00
2.190000e-06	-3.402958e-03	-1.844204e+00
2.200000e-06	-4.243934e-03	-1.843099e+00
2.210000e-06	-2.931993e-03	-1.820021e+00
2.220000e-06	-2.024445e-03	-1.749870e+00
2.230000e-06	-1.886383e-03	-1.685965e+00
2.240000e-06	-4.046669e-03	-1.704783e+00
2.250000e-06	-3.340532e-03	-1.651733e+00
2.260000e-06	-2.675171e-03	-1.653555e+00
2.270000e-06	-3.006963e-03	-1.620048e+00
2.280000e-06	-4.876907e-03	-1.590499e+00
2.290000e-06	-3.746270e-03	-1.577391e+00
2.300000e-06	-2.754970e-03	-1.477313e+00
2.310000e-06	-2.282272e-03	-1.475207e+00
2.320000e-06	-2.883384e-03	-1.437821e+00
2.330000e-06	-3.572459e-03	-1.367368e+00
2.340000e-06	-3.533201e-03	-1.304662e+00
2.350000e-06	-2.984950e-03	-1.272655e+00
2.360000e-06	-3.204935e-03	-1.221551e+00
2.370000e-06	-4.353462e-03	-1.187949e+00
2.380000e-06	-3.779510e-03	-1.158866e+00
2.390000e-06	-3.281498e-03	-1.105312e+00
2.400000e-06	-2.704399e-03	-1.064132e+00
2.410000e-06	-3.583703e-03	-1.041627e+00
2.420000e-06	-3.884949e-03	-9.989750e-01
2.430000e-06	-3.791200e-03	-9.689200e-01
2.440000e-06	-3.434279e-03	-9.257346e-01
2.450000e-06	-4.072770e-03	-9.261580e-01
2.460000e-06	-3.663231e-03	-8.431039e-01
2.470000e-06	-2.965745e-03	-8.195739e-01
2.480000e-06	-3.430520e-03	-8.220238e-01
2.490000e-06	-3.718767e-03	-7.974698e-01
2.500000e-06	-4.189762e-03	-7.588172e-01
2.510000e-06	-4.495984e-03	-7.678382e-01
2.520000e-06	-3.931517e-03	-6.541493e-01
2.530000e-06	-4.540565e-03	-5.895202e-01
2.540000e-06	-5.184569e-03	-5.767624e-01
2.550000e-06	-3.675200e-03	-4.542293e-01
2.560000e-06	-4.227304e-03	-4.926066e-01
2.570000e-06	-4.730769e-03	-4.399751e-01
