# Temperatura_=_24.65
# Concentracion g/m^3_=_4090.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135093.37842585667

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.401232e-06	-2.689141e-09	-3.837623e+01	-1.748947e+02
1.000000e-08	-5.401557e-06	-2.688999e-09	-3.837854e+01	-1.749153e+02
2.000000e-08	-5.401675e-06	-2.684195e-09	-3.837938e+01	-1.749327e+02
3.000000e-08	-5.401488e-06	-2.677418e-09	-3.837805e+01	-1.749467e+02
4.000000e-08	-5.400767e-06	-2.670776e-09	-3.837293e+01	-1.749571e+02
5.000000e-08	-5.399560e-06	-2.662659e-09	-3.836435e+01	-1.749637e+02
6.000000e-08	-5.397784e-06	-2.653099e-09	-3.835174e+01	-1.749662e+02
7.000000e-08	-5.395289e-06	-2.657742e-09	-3.833401e+01	-1.749645e+02
8.000000e-08	-5.392225e-06	-2.710475e-09	-3.831223e+01	-1.749585e+02
9.000000e-08	-5.388769e-06	-2.760561e-09	-3.828769e+01	-1.749479e+02
1.000000e-07	-5.384841e-06	-2.699026e-09	-3.825977e+01	-1.749326e+02
1.100000e-07	-5.380592e-06	-2.609515e-09	-3.822958e+01	-1.749124e+02
1.200000e-07	-5.376288e-06	-2.626332e-09	-3.819900e+01	-1.748873e+02
1.300000e-07	-5.371722e-06	-2.741284e-09	-3.816656e+01	-1.748572e+02
1.400000e-07	-5.366617e-06	-2.680513e-09	-3.813029e+01	-1.748220e+02
1.500000e-07	-5.361074e-06	-2.557810e-09	-3.809091e+01	-1.747816e+02
1.600000e-07	-5.355340e-06	-2.619256e-09	-3.805016e+01	-1.747361e+02
1.700000e-07	-5.349307e-06	-2.786543e-09	-3.800730e+01	-1.746855e+02
1.800000e-07	-5.342646e-06	-2.755209e-09	-3.795997e+01	-1.746298e+02
1.900000e-07	-5.335532e-06	-2.601783e-09	-3.790943e+01	-1.745691e+02
2.000000e-07	-5.328309e-06	-2.645129e-09	-3.785811e+01	-1.745035e+02
2.100000e-07	-5.320956e-06	-2.726977e-09	-3.780586e+01	-1.744331e+02
2.200000e-07	-5.313319e-06	-2.673920e-09	-3.775161e+01	-1.743581e+02
2.300000e-07	-5.305387e-06	-2.598852e-09	-3.769525e+01	-1.742786e+02
2.400000e-07	-5.297157e-06	-2.690615e-09	-3.763677e+01	-1.741948e+02
2.500000e-07	-5.288310e-06	-2.714795e-09	-3.757391e+01	-1.741069e+02
2.600000e-07	-5.278649e-06	-2.648206e-09	-3.750527e+01	-1.740152e+02
2.700000e-07	-5.268394e-06	-2.641930e-09	-3.743240e+01	-1.739199e+02
2.800000e-07	-5.257723e-06	-2.721803e-09	-3.735659e+01	-1.738212e+02
2.900000e-07	-5.246533e-06	-2.661800e-09	-3.727708e+01	-1.737193e+02
3.000000e-07	-5.234992e-06	-2.575971e-09	-3.719508e+01	-1.736146e+02
3.100000e-07	-5.223126e-06	-2.648547e-09	-3.711077e+01	-1.735073e+02
3.200000e-07	-5.210739e-06	-2.725441e-09	-3.702276e+01	-1.733977e+02
3.300000e-07	-5.197912e-06	-2.640566e-09	-3.693162e+01	-1.732860e+02
3.400000e-07	-5.184817e-06	-2.592049e-09	-3.683858e+01	-1.731724e+02
3.500000e-07	-5.171423e-06	-2.664350e-09	-3.674342e+01	-1.730572e+02
3.600000e-07	-5.157592e-06	-2.675112e-09	-3.664515e+01	-1.729406e+02
3.700000e-07	-5.143270e-06	-2.616487e-09	-3.654339e+01	-1.728228e+02
3.800000e-07	-5.128463e-06	-2.628771e-09	-3.643819e+01	-1.727039e+02
3.900000e-07	-5.113003e-06	-2.657176e-09	-3.632834e+01	-1.725841e+02
4.000000e-07	-5.097042e-06	-2.643163e-09	-3.621494e+01	-1.724636e+02
4.100000e-07	-5.080675e-06	-2.662169e-09	-3.609865e+01	-1.723424e+02
4.200000e-07	-5.063836e-06	-2.664138e-09	-3.597900e+01	-1.722205e+02
4.300000e-07	-5.046729e-06	-2.613489e-09	-3.585746e+01	-1.720981e+02
4.400000e-07	-5.029332e-06	-2.601023e-09	-3.573385e+01	-1.719751e+02
4.500000e-07	-5.011687e-06	-2.659666e-09	-3.560848e+01	-1.718515e+02
4.600000e-07	-4.993778e-06	-2.644440e-09	-3.548124e+01	-1.717272e+02
4.700000e-07	-4.975503e-06	-2.605534e-09	-3.535139e+01	-1.716022e+02
4.800000e-07	-4.956771e-06	-2.615259e-09	-3.521830e+01	-1.714763e+02
4.900000e-07	-4.937571e-06	-2.647566e-09	-3.508188e+01	-1.713494e+02
5.000000e-07	-4.918099e-06	-2.625711e-09	-3.494353e+01	-1.712212e+02
