# 251112_11:45:37.485212
t	CH1	CH2
0.000000e+00	-4.432315e-03	-3.506265e+00
1.000000e-08	-3.666868e-03	-3.535866e+00
2.000000e-08	-4.959610e-03	-3.536871e+00
3.000000e-08	-1.612353e-03	-3.589899e+00
4.000000e-08	-4.253070e-03	-3.589975e+00
5.000000e-08	-3.440734e-03	-3.579001e+00
6.000000e-08	-4.947201e-03	-3.611030e+00
7.000000e-08	-2.199709e-03	-3.642078e+00
8.000000e-08	-3.588659e-03	-3.662605e+00
9.000000e-08	-4.005437e-03	-3.693233e+00
1.000000e-07	-5.450857e-03	-3.675342e+00
1.100000e-07	-3.461763e-03	-3.779325e+00
1.200000e-07	-3.064220e-03	-3.759398e+00
1.300000e-07	-3.314243e-03	-3.860604e+00
1.400000e-07	-4.262704e-03	-3.852560e+00
1.500000e-07	-2.590167e-03	-3.885791e+00
1.600000e-07	-2.759317e-03	-3.955320e+00
1.700000e-07	-3.410677e-03	-3.939442e+00
1.800000e-07	-4.814331e-03	-3.958924e+00
1.900000e-07	-3.885478e-03	-3.979424e+00
2.000000e-07	-2.795370e-03	-3.979949e+00
2.100000e-07	-2.927018e-03	-4.010525e+00
2.200000e-07	-3.814404e-03	-4.021025e+00
2.300000e-07	-3.355135e-03	-4.012057e+00
2.400000e-07	-3.204695e-03	-4.009608e+00
2.500000e-07	-2.814882e-03	-4.063182e+00
2.600000e-07	-3.815113e-03	-4.094207e+00
2.700000e-07	-5.009589e-03	-4.095286e+00
2.800000e-07	-3.357170e-03	-4.136291e+00
2.900000e-07	-2.745755e-03	-4.126366e+00
3.000000e-07	-2.209372e-03	-4.156320e+00
3.100000e-07	-3.652560e-03	-4.177948e+00
3.200000e-07	-2.976593e-03	-4.190448e+00
3.300000e-07	-3.167394e-03	-4.179527e+00
3.400000e-07	-3.344698e-03	-4.220603e+00
3.500000e-07	-5.321166e-03	-4.221580e+00
3.600000e-07	-4.071684e-03	-4.234182e+00
3.700000e-07	-2.836136e-03	-4.242634e+00
3.800000e-07	-2.894757e-03	-4.302656e+00
3.900000e-07	-4.086389e-03	-4.274235e+00
4.000000e-07	-3.523181e-03	-4.333760e+00
4.100000e-07	-3.761371e-03	-4.324842e+00
4.200000e-07	-3.277645e-03	-4.366346e+00
4.300000e-07	-3.264127e-03	-4.378796e+00
4.400000e-07	-3.702559e-03	-4.367921e+00
4.500000e-07	-4.005612e-03	-4.337946e+00
4.600000e-07	-3.402197e-03	-4.388425e+00
4.700000e-07	-2.516378e-03	-4.369446e+00
4.800000e-07	-4.262882e-03	-4.398451e+00
4.900000e-07	-3.398538e-03	-4.399924e+00
5.000000e-07	-5.120407e-03	-4.399525e+00
5.100000e-07	-2.152464e-03	-4.399975e+00
5.200000e-07	-3.880808e-03	-4.431001e+00
5.300000e-07	-2.520037e-03	-4.392028e+00
5.400000e-07	-2.414149e-03	-4.420054e+00
5.500000e-07	-2.433329e-03	-4.421128e+00
5.600000e-07	-4.508370e-03	-4.432557e+00
5.700000e-07	-6.100479e-03	-4.432579e+00
5.800000e-07	-5.675443e-03	-4.462132e+00
5.900000e-07	-5.098951e-03	-4.454154e+00
6.000000e-07	-1.338225e-03	-4.463108e+00
6.100000e-07	-1.698058e-03	-4.463183e+00
6.200000e-07	-4.643472e-05	-4.524257e+00
6.300000e-07	-2.554075e-03	-4.434159e+00
6.400000e-07	-2.329829e-03	-4.445311e+00
6.500000e-07	-6.717965e-03	-4.504786e+00
6.600000e-07	-5.350413e-03	-4.524661e+00
6.700000e-07	-6.739412e-03	-4.464763e+00
6.800000e-07	-2.351939e-03	-4.485763e+00
6.900000e-07	-1.889020e-03	-4.495713e+00
7.000000e-07	8.306215e-07	-4.544893e+00
7.100000e-07	-2.896666e-03	-4.526367e+00
7.200000e-07	-1.794430e-03	-4.546766e+00
7.300000e-07	-5.071688e-03	-4.578742e+00
7.400000e-07	-3.464608e-03	-4.516911e+00
7.500000e-07	-6.608752e-03	-4.497945e+00
7.600000e-07	-3.457997e-03	-4.507741e+00
7.700000e-07	-3.781647e-03	-4.536971e+00
7.800000e-07	-6.382682e-04	-4.578365e+00
7.900000e-07	-2.693893e-03	-4.566371e+00
8.000000e-07	-2.335454e-03	-4.558448e+00
8.100000e-07	-3.136476e-03	-4.558924e+00
8.200000e-07	-2.314865e-03	-4.519392e+00
8.300000e-07	-4.186973e-03	-4.547396e+00
8.400000e-07	-4.056237e-03	-4.578343e+00
8.500000e-07	-3.222704e-03	-4.617872e+00
8.600000e-07	-2.201587e-03	-4.578971e+00
8.700000e-07	-2.974070e-03	-4.539895e+00
8.800000e-07	-3.743456e-03	-4.569915e+00
8.900000e-07	-2.523391e-03	-4.568891e+00
9.000000e-07	-2.320874e-03	-4.529867e+00
9.100000e-07	-1.855011e-03	-4.548396e+00
9.200000e-07	-2.639366e-03	-4.547845e+00
9.300000e-07	-2.985519e-03	-4.568338e+00
9.400000e-07	-2.028854e-03	-4.488882e+00
9.500000e-07	-2.047078e-03	-4.566341e+00
9.600000e-07	-2.866550e-03	-4.545887e+00
9.700000e-07	-2.776640e-03	-4.504737e+00
9.800000e-07	-2.297969e-03	-4.508288e+00
9.900000e-07	-6.180039e-04	-4.516284e+00
1.000000e-06	-1.236937e-03	-4.503209e+00
1.010000e-06	-2.645955e-03	-4.494659e+00
1.020000e-06	-2.257829e-03	-4.463766e+00
1.030000e-06	-1.323417e-03	-4.492588e+00
1.040000e-06	-2.568826e-03	-4.464658e+00
1.050000e-06	-2.784988e-03	-4.471630e+00
1.060000e-06	-3.322432e-03	-4.423132e+00
1.070000e-06	-7.413126e-04	-4.451530e+00
1.080000e-06	-1.007180e-03	-4.480583e+00
1.090000e-06	-3.139632e-04	-4.451553e+00
1.100000e-06	-2.575114e-03	-4.410554e+00
1.110000e-06	-3.563665e-04	-4.442028e+00
1.120000e-06	-1.239291e-03	-4.421050e+00
1.130000e-06	-2.118034e-03	-4.391029e+00
1.140000e-06	-3.323656e-03	-4.400500e+00
1.150000e-06	-2.503472e-03	-4.369451e+00
1.160000e-06	-1.018087e-03	-4.399999e+00
1.170000e-06	-2.922125e-04	-4.389475e+00
1.180000e-06	-1.493466e-03	-4.389475e+00
1.190000e-06	-5.698289e-04	-4.358450e+00
1.200000e-06	-9.851050e-04	-4.368945e+00
1.210000e-06	-2.524203e-03	-4.357368e+00
1.220000e-06	-1.851282e-03	-4.339319e+00
1.230000e-06	-2.432283e-03	-4.315843e+00
1.240000e-06	-9.494524e-04	-4.316845e+00
1.250000e-06	-1.601267e-03	-4.324837e+00
1.260000e-06	-1.574118e-03	-4.306213e+00
1.270000e-06	-1.954112e-03	-4.276139e+00
1.280000e-06	-1.065274e-03	-4.305133e+00
1.290000e-06	-1.702530e-03	-4.254058e+00
1.300000e-06	-1.429714e-03	-4.212053e+00
1.310000e-06	-1.369725e-03	-4.210629e+00
1.320000e-06	-1.142247e-03	-4.180525e+00
1.330000e-06	-1.394176e-03	-4.199453e+00
1.340000e-06	-2.338153e-03	-4.179427e+00
1.350000e-06	-2.239581e-03	-4.168428e+00
1.360000e-06	-1.931902e-03	-4.177820e+00
1.370000e-06	-1.806014e-03	-4.107294e+00
1.380000e-06	-2.125326e-03	-4.133839e+00
1.390000e-06	-2.313695e-03	-4.085711e+00
1.400000e-06	-7.874769e-04	-4.033168e+00
1.410000e-06	-2.295113e-03	-4.083107e+00
1.420000e-06	-2.254755e-03	-4.041552e+00
1.430000e-06	-2.796532e-03	-4.040079e+00
1.440000e-06	-3.188434e-03	-4.011025e+00
1.450000e-06	-1.904116e-03	-4.010553e+00
1.460000e-06	-2.456124e-03	-3.981000e+00
1.470000e-06	-2.442738e-03	-3.998975e+00
1.480000e-06	-2.603117e-03	-3.969424e+00
1.490000e-06	-2.015565e-03	-3.976920e+00
1.500000e-06	-2.642487e-03	-3.938395e+00
1.510000e-06	-3.906025e-03	-3.965765e+00
1.520000e-06	-3.327837e-03	-3.884216e+00
1.530000e-06	-2.219910e-03	-3.904188e+00
1.540000e-06	-1.447750e-03	-3.840520e+00
1.550000e-06	-3.050940e-03	-3.811850e+00
1.560000e-06	-4.536825e-03	-3.744991e+00
1.570000e-06	-2.605973e-03	-3.705809e+00
1.580000e-06	-1.935814e-03	-3.694105e+00
1.590000e-06	-3.250776e-03	-3.632159e+00
1.600000e-06	-4.229886e-03	-3.651079e+00
1.610000e-06	-3.265431e-03	-3.591525e+00
1.620000e-06	-1.413717e-03	-3.609979e+00
1.630000e-06	-3.188738e-03	-3.607923e+00
1.640000e-06	-4.310877e-03	-3.569396e+00
1.650000e-06	-3.593600e-03	-3.548394e+00
1.660000e-06	-2.658194e-03	-3.507867e+00
1.670000e-06	-2.261098e-03	-3.505791e+00
1.680000e-06	-4.191699e-03	-3.454682e+00
1.690000e-06	-4.059887e-03	-3.442130e+00
1.700000e-06	-3.060444e-03	-3.412627e+00
1.710000e-06	-3.111375e-03	-3.400950e+00
1.720000e-06	-3.977681e-03	-3.389898e+00
1.730000e-06	-3.229105e-03	-3.379920e+00
1.740000e-06	-2.631048e-03	-3.374764e+00
