# Temperatura_=_-4.3
# Concentracion g/m^3_=_4090.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135073.3775152002

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.396162e-06	-1.343298e-09	-3.839448e+01	-9.104288e+01
1.000000e-08	-5.396541e-06	-1.340604e-09	-3.839717e+01	-9.094935e+01
2.000000e-08	-5.396655e-06	-1.338467e-09	-3.839799e+01	-9.086140e+01
3.000000e-08	-5.396467e-06	-1.335769e-09	-3.839665e+01	-9.077968e+01
4.000000e-08	-5.395896e-06	-1.330601e-09	-3.839258e+01	-9.070480e+01
5.000000e-08	-5.394843e-06	-1.327506e-09	-3.838509e+01	-9.063727e+01
6.000000e-08	-5.393257e-06	-1.329730e-09	-3.837381e+01	-9.057755e+01
7.000000e-08	-5.391048e-06	-1.349731e-09	-3.835809e+01	-9.052604e+01
8.000000e-08	-5.388211e-06	-1.394529e-09	-3.833791e+01	-9.048301e+01
9.000000e-08	-5.384824e-06	-1.363327e-09	-3.831381e+01	-9.044871e+01
1.000000e-07	-5.380985e-06	-1.230614e-09	-3.828649e+01	-9.042324e+01
1.100000e-07	-5.376807e-06	-1.258277e-09	-3.825677e+01	-9.040667e+01
1.200000e-07	-5.372372e-06	-1.444307e-09	-3.822521e+01	-9.039895e+01
1.300000e-07	-5.367646e-06	-1.431385e-09	-3.819158e+01	-9.039995e+01
1.400000e-07	-5.362528e-06	-1.217530e-09	-3.815516e+01	-9.040945e+01
1.500000e-07	-5.357164e-06	-1.220620e-09	-3.811700e+01	-9.042715e+01
1.600000e-07	-5.351589e-06	-1.518564e-09	-3.807734e+01	-9.045266e+01
1.700000e-07	-5.345499e-06	-1.507469e-09	-3.803400e+01	-9.048553e+01
1.800000e-07	-5.338940e-06	-1.207688e-09	-3.798734e+01	-9.052520e+01
1.900000e-07	-5.332105e-06	-1.191653e-09	-3.793870e+01	-9.057106e+01
2.000000e-07	-5.324930e-06	-1.476726e-09	-3.788765e+01	-9.062244e+01
2.100000e-07	-5.317383e-06	-1.482273e-09	-3.783396e+01	-9.067860e+01
2.200000e-07	-5.309573e-06	-1.285850e-09	-3.777839e+01	-9.073873e+01
2.300000e-07	-5.301615e-06	-1.374120e-09	-3.772176e+01	-9.080201e+01
2.400000e-07	-5.293434e-06	-1.557092e-09	-3.766355e+01	-9.086755e+01
