# Temperatura_=_13.7
# Concentracion g/m^3_=_4090.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135085.898934339

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.388901e-06	-1.253209e-09	-3.838155e+01	-8.277984e+01
1.000000e-08	-5.388907e-06	-1.246775e-09	-3.838159e+01	-8.266926e+01
2.000000e-08	-5.388770e-06	-1.238692e-09	-3.838062e+01	-8.257059e+01
3.000000e-08	-5.388364e-06	-1.232137e-09	-3.837772e+01	-8.248464e+01
4.000000e-08	-5.387511e-06	-1.232382e-09	-3.837165e+01	-8.241213e+01
5.000000e-08	-5.386127e-06	-1.237922e-09	-3.836179e+01	-8.235367e+01
6.000000e-08	-5.384176e-06	-1.249381e-09	-3.834789e+01	-8.230976e+01
7.000000e-08	-5.381603e-06	-1.256683e-09	-3.832957e+01	-8.228078e+01
8.000000e-08	-5.378449e-06	-1.238501e-09	-3.830711e+01	-8.226700e+01
9.000000e-08	-5.374694e-06	-1.182787e-09	-3.828036e+01	-8.226854e+01
1.000000e-07	-5.370562e-06	-1.214091e-09	-3.825093e+01	-8.228541e+01
1.100000e-07	-5.366278e-06	-1.305863e-09	-3.822042e+01	-8.231748e+01
1.200000e-07	-5.361781e-06	-1.257878e-09	-3.818840e+01	-8.236449e+01
1.300000e-07	-5.357018e-06	-1.158768e-09	-3.815447e+01	-8.242604e+01
1.400000e-07	-5.351816e-06	-1.202140e-09	-3.811742e+01	-8.250161e+01
1.500000e-07	-5.346138e-06	-1.335200e-09	-3.807698e+01	-8.259054e+01
1.600000e-07	-5.340068e-06	-1.309770e-09	-3.803375e+01	-8.269207e+01
1.700000e-07	-5.333733e-06	-1.102211e-09	-3.798862e+01	-8.280530e+01
1.800000e-07	-5.327077e-06	-1.187210e-09	-3.794122e+01	-8.292924e+01
1.900000e-07	-5.319928e-06	-1.319381e-09	-3.789030e+01	-8.306277e+01
2.000000e-07	-5.312480e-06	-1.329491e-09	-3.783725e+01	-8.320470e+01
2.100000e-07	-5.304864e-06	-1.179853e-09	-3.778301e+01	-8.335376e+01
2.200000e-07	-5.297015e-06	-1.292508e-09	-3.772711e+01	-8.350860e+01
2.300000e-07	-5.288859e-06	-1.392032e-09	-3.766902e+01	-8.366781e+01
2.400000e-07	-5.280277e-06	-1.334508e-09	-3.760789e+01	-8.382993e+01
2.500000e-07	-5.271092e-06	-1.285542e-09	-3.754248e+01	-8.399347e+01
2.600000e-07	-5.261311e-06	-1.394197e-09	-3.747281e+01	-8.415691e+01
2.700000e-07	-5.250938e-06	-1.406997e-09	-3.739893e+01	-8.431875e+01
2.800000e-07	-5.240034e-06	-1.281967e-09	-3.732127e+01	-8.447745e+01
2.900000e-07	-5.228746e-06	-1.298813e-09	-3.724087e+01	-8.463152e+01
3.000000e-07	-5.216983e-06	-1.369369e-09	-3.715710e+01	-8.477949e+01
3.100000e-07	-5.204790e-06	-1.321512e-09	-3.707025e+01	-8.491994e+01
3.200000e-07	-5.192276e-06	-1.241449e-09	-3.698112e+01	-8.505150e+01
3.300000e-07	-5.179365e-06	-1.359118e-09	-3.688917e+01	-8.517287e+01
3.400000e-07	-5.166043e-06	-1.369534e-09	-3.679428e+01	-8.528283e+01
3.500000e-07	-5.152357e-06	-1.309410e-09	-3.669680e+01	-8.538024e+01
3.600000e-07	-5.138290e-06	-1.291271e-09	-3.659662e+01	-8.546409e+01
3.700000e-07	-5.123840e-06	-1.354725e-09	-3.649370e+01	-8.553343e+01
3.800000e-07	-5.108759e-06	-1.275453e-09	-3.638629e+01	-8.558746e+01
3.900000e-07	-5.093036e-06	-1.272171e-09	-3.627430e+01	-8.562550e+01
4.000000e-07	-5.076739e-06	-1.313205e-09	-3.615823e+01	-8.564696e+01
4.100000e-07	-5.060032e-06	-1.313240e-09	-3.603924e+01	-8.565143e+01
4.200000e-07	-5.043089e-06	-1.264586e-09	-3.591856e+01	-8.563858e+01
4.300000e-07	-5.025824e-06	-1.337622e-09	-3.579559e+01	-8.560825e+01
4.400000e-07	-5.008283e-06	-1.334343e-09	-3.567066e+01	-8.556040e+01
4.500000e-07	-4.990436e-06	-1.274136e-09	-3.554355e+01	-8.549511e+01
